Assay_Plate_Barcode,Plate_Map_Name
BR00125637,control
BR00121428,JUMP-Target-2_compound_platemap
BR00125638,JUMP-Target-1_compound_platemap
BR00125181,JUMP-Target-1_compound_platemap
BR00123524,JUMP-Target-1_compound_platemap
BR00123523,JUMP-Target-1_compound_platemap
BR00125621,OAA85.86.87.88.A
BR00125620,OAA85.86.87.88.A
BR00125619,OAA85.86.87.88.A
BR00124788,OAA85.86.87.88.A
BR00124787,OAA85.86.87.88.A
BR00125626,OAB21.22.23.24.A
BR00125625,OAB21.22.23.24.A
BR00125624,OAB21.22.23.24.A
BR00125623,OAB21.22.23.24.A
BR00125622,OAB21.22.23.24.A
BR00125631,OAB29.30.31.32.A
BR00125630,OAB29.30.31.32.A
BR00125629,OAB29.30.31.32.A
BR00125628,OAB29.30.31.32.A
BR00125627,OAB29.30.31.32.A
BR00125636,OAB44.OAA18.19.20.A
BR00125635,OAB44.OAA18.19.20.A
BR00125634,OAB44.OAA18.19.20.A
BR00125633,OAB44.OAA18.19.20.A
