Assay_Plate_Barcode,Plate_Map_Name
BR00124774,control
BR00121429,JUMP-Target-2_compound_platemap
BR00124766,OKA05.06.07.08.A
BR00124767,OKA05.06.07.08.A
BR00124768,OKA05.06.07.08.A
BR00124769,OKA05.06.07.08.A
BR00123945,OKA05.06.07.08.A
BR00124761,OAA89.90.91.92.A
BR00124770,OAA89.90.91.92.A
BR00124776,OAA89.90.91.92.A
BR00124777,OAA89.90.91.92.A
BR00124775,OAA89.90.91.92.A
BR00124778,OAB01.02.03.04.A
BR00124779,OAB01.02.03.04.A
BR00124771,OAB01.02.03.04.A
BR00124772,OAB01.02.03.04.A
BR00124773,OAB01.02.03.04.A
