Assay_Plate_Barcode,Plate_Map_Name
BR00125180,control
BR00121424,JUMP-Target-2_compound_platemap
BR00125164,OAA58.60.61.62.A
BR00125163,OAA58.60.61.62.A
BR00125162,OAA58.60.61.62.A
BR00124785,OAA58.60.61.62.A
BR00124784,OAA58.60.61.62.A
BR00125169,OAB05.06.07.08.A
BR00125168,OAB05.06.07.08.A
BR00125167,OAB05.06.07.08.A
BR00125166,OAB05.06.07.08.A
BR00125165,OAB05.06.07.08.A
BR00125174,OAB09.10.11.12.A
BR00125173,OAB09.10.11.12.A
BR00125172,OAB09.10.11.12.A
BR00125171,OAB09.10.11.12.A
BR00125170,OAB09.10.11.12.A
BR00125179,OAB17.18.19.20.A
BR00125178,OAB17.18.19.20.A
BR00125177,OAB17.18.19.20.A
BR00125176,OAB17.18.19.20.A
BR00125175,OAB17.18.19.20.A
