Assay_Plate_Barcode,Plate_Map_Name
BR00124793,control
BR00121423,JUMP-Target-2_compound_platemap
BR00126399,OAB33.34.35.36.A
BR00126398,OAB33.34.35.36.A
BR00126397,OAB33.34.35.36.A
BR00126396,OAB33.34.35.36.A
BR00126395,OAB33.34.35.36.A
BR00126394,OAB92.93.94.95.A
BR00126393,OAB92.93.94.95.A
BR00126392,OAB92.93.94.95.A
BR00126391,OAB92.93.94.95.A
BR00126390,OAB92.93.94.95.A
BR00126389,OAB96.97.98.99.A
BR00126388,OAB96.97.98.99.A
BR00126387,OAB96.97.98.99.A
BR00126386,OAB96.97.98.99.A
BR00126385,OAB96.97.98.99.A
BR00126403,OAC01.02.03.04.A
BR00126402,OAC01.02.03.04.A
BR00126401,OAC01.02.03.04.A
BR00126400,OAC01.02.03.04.A
BR00124794,OAC01.02.03.04.A
