Assay_Plate_Barcode,Plate_Map_Name
BR00121540,control
BR00121541,control
BR00121438,JUMP-Target-2_compound_platemap
BR00121439,JUMP-Target-2_compound_platemap
BR00121539,OAA09.10.11.12.A
BR00121537,OAA09.10.11.12.A
BR00121538,OAA09.10.11.12.A
BR00121557,OAA09.10.11.12.A
BR00121561,OAA09.10.11.12.A
BR00121564,OAA05.06.07.08.A
BR00121566,OAA05.06.07.08.A
BR00121565,OAA05.06.07.08.A
BR00121563,OAA05.06.07.08.A
BR00121562,OAA05.06.07.08.A
BR00121558,OAA01.02.03.04.A
BR00121559,OAA01.02.03.04.A
BR00121560,OAA01.02.03.04.A
BR00117035,OAA01.02.03.04.A
BR00117036,OAA01.02.03.04.A
BR00117041,OAB84.85.86.87.A
BR00117040,OAB84.85.86.87.A
BR00117039,OAB84.85.86.87.A
BR00117038,OAB84.85.86.87.A
BR00117037,OAB84.85.86.87.A
