Assay_Plate_Barcode,Plate_Map_Name
BR00126544,control
BR00121426,JUMP-Target-2_compound_platemap
BR00126542,OAB37.38.39.40.A
BR00126541,OAB37.38.39.40.A
BR00126540,OAB37.38.39.40.A
BR00126539,OAB37.38.39.40.A
BR00126538,OAB37.38.39.40.A
BR00126537,OAC05.06.07.08.A
BR00126536,OAC05.06.07.08.A
BR00126535,OAC05.06.07.08.A
BR00126534,OAC05.06.07.08.A
BR00126521,OAC05.06.07.08.A
BR00126520,OAC09.10.11.12.A
BR00126553,OAC09.10.11.12.A
BR00126552,OAC09.10.11.12.A
BR00126551,OAC09.10.11.12.A
BR00126550,OAC09.10.11.12.A
BR00126549,OAC18.OAB81.82.83.A
BR00126548,OAC18.OAB81.82.83.A
BR00126547,OAC18.OAB81.82.83.A
BR00126546,OAC18.OAB81.82.83.A
BR00126545,OAC18.OAB81.82.83.A
