Assay_Plate_Barcode,Plate_Map_Name
BR00123630,control
BR00121436,JUMP-Target-2_compound_platemap
BR00123616,OAB25.26.27.28.A
BR00123617,OAB25.26.27.28.A
BR00123618,OAB25.26.27.28.A
BR00123613,OAB25.26.27.28.A
BR00123614,OAB25.26.27.28.A
BR00123615,OAA33.34.35.36.A
BR00123506,OAA33.34.35.36.A
BR00123507,OAA33.34.35.36.A
BR00123532,OAA33.34.35.36.A
BR00123623,OAA33.34.35.36.A
BR00123624,OAA37.38.39.40.A
BR00123625,OAA37.38.39.40.A
BR00123626,OAA37.38.39.40.A
BR00123619,OAA37.38.39.40.A
BR00123620,OAA37.38.39.40.A
BR00123627,OAA41.42.43.OAB45.A
BR00123628,OAA41.42.43.OAB45.A
BR00123629,OAA41.42.43.OAB45.A
BR00123621,OAA41.42.43.OAB45.A
BR00123622,OAA41.42.43.OAB45.A
