Assay_Plate_Barcode,Plate_Map_Name
BR00126707,control
BR00126113,JUMP-Target-2_compound_platemap
BR00126114,JUMP-Target-2_compound_platemap
BR00126115,JUMP-Target-2_compound_platemap
BR00126116,JUMP-Target-2_compound_platemap
BR00126117,JUMP-Target-2_compound_platemap
BR00126734,bortezomib
BR00126735,bortezomib
BR00126711,OKA01.02.03.04.A
BR00126710,OKA01.02.03.04.A
BR00126709,OKA01.02.03.04.A
BR00126714,OKA01.02.03.04.A
BR00126706,OKA01.02.03.04.A
BR00126712,OAA81.82.83.84.A
BR00126718,OAA81.82.83.84.A
BR00126717,OAA81.82.83.84.A
BR00126716,OAA81.82.83.84.A
BR00126715,OAA81.82.83.84.A
BR00126708,OAB44.OAA18.19.20.A
