Assay_Plate_Barcode,Plate_Map_Name
BR00123531,control
BR00121437,JUMP-Target-2_compound_platemap
BR00121556,OAA97.98.99.XX.A
BR00121555,OAA97.98.99.XX.A
BR00121554,OAA97.98.99.XX.A
BR00121553,OAA97.98.99.XX.A
BR00121552,OAA97.98.99.XX.A
BR00121551,OAA13.14.15.16.A
BR00121550,OAA13.14.15.16.A
BR00121549,OAA13.14.15.16.A
BR00121548,OAA13.14.15.16.A
BR00121547,OAA13.14.15.16.A
BR00121546,OAA21.22.23.24.A
BR00121545,OAA21.22.23.24.A
BR00121544,OAA21.22.23.24.A
BR00121543,OAA21.22.23.24.A
BR00123525,OAA21.22.23.24.A
BR00123528A,OAA29.30.31.32.A
BR00123528B,OAA29.30.31.32.A
BR00123529,OAA29.30.31.32.A
BR00123530,OAA29.30.31.32.A
BR00123526,OAA29.30.31.32.A
BR00123527,OAA29.30.31.32.A
